model,dataset,passage,question,answer
llama3:8b,qg_squad,"In 1841, Léon Escudier wrote of a recital given by Chopin that year, ""One may say that Chopin is the",Who wrote about Chopin's recital in 1841?,Léon Escudier
llama3:8b,qg_squad,"In 1841, Léon Escudier wrote of a recital given by Chopin that year, ""One may say that Chopin is the",What is unique about Chopin's piano playing style?,"Lightness, sweetness and independence of finger technique"
llama3:8b,qg_squad,"In 1841, Léon Escudier wrote of a recital given by Chopin that year, ""One may say that Chopin is the",What does Chopin consider essential for good fingering?,Knowing good fingering
llama3:8b,qg_squad,"In 1841, Léon Escudier wrote of a recital given by Chopin that year, ""One may say that Chopin is the",What is the focus of Chopin's approach to technique in his music?,"The entire range of the keyboard, hand position and unlimited dexterity"
llama3:8b,qg_squad,"In 1841, Léon Escudier wrote of a recital given by Chopin that year, ""One may say that Chopin is the",What rhythmic pattern does Chopin use in his music?,Four against three
llama3:8b,qg_squad,"Portugal has several summer music festivals, such as Festival Sudoeste in Zambujeira do Mar, Festiva",What is the name of the festival that takes place near Caminha?,Festival Vilar de Mouros
llama3:8b,qg_squad,"Portugal has several summer music festivals, such as Festival Sudoeste in Zambujeira do Mar, Festiva",Where does the Boom Festival take place every two years?,central Portugal
llama3:8b,qg_squad,"Portugal has several summer music festivals, such as Festival Sudoeste in Zambujeira do Mar, Festiva",What award did the Boom Festival win in 2010?,European Festival Award – Green'n'Clean Festival of the Year
llama3:8b,qg_squad,"Portugal has several summer music festivals, such as Festival Sudoeste in Zambujeira do Mar, Festiva",Where was the MTV Europe Music Awards held in 2005?,"Pavilhão Atlântico, Lisbon"
llama3:8b,qg_squad,"Portugal has several summer music festivals, such as Festival Sudoeste in Zambujeira do Mar, Festiva",What is the name of the festival that wins international awards?,Boom Festival
llama3:8b,qg_squad,"For five consecutive seasons, starting in season seven, the title was given to a white male who play",How many seasons was the 'White guy with guitar' factor a trend on American Idol?,Five
llama3:8b,qg_squad,"For five consecutive seasons, starting in season seven, the title was given to a white male who play",What was the trend in American Idol winners starting from season seven?,A white male who plays the guitar
