model,dataset,passage,question,answer
phi,qg_squadshifts_new_wiki,Marxism–Leninism was created after Lenin's death during the regime of Josef Stalin in the Soviet Uni,Who founded the Russian Social Democratic Labour Party (RSDLP) in 1903?,Bolsheviks
phi,qg_squadshifts_new_wiki,Marxism–Leninism was created after Lenin's death during the regime of Josef Stalin in the Soviet Uni,What is the RSDLP's Second Congress in 1903 known for?,Bolshevik faction of the party
phi,qg_squadshifts_new_wiki,Marxism–Leninism was created after Lenin's death during the regime of Josef Stalin in the Soviet Uni,"Which faction of the RSDLP advocated an active, politically committed vanguard party membership and opposed trade union based membership of social democratic parties?",The Bolsheviks
phi,qg_squadshifts_new_wiki,Marxism–Leninism was created after Lenin's death during the regime of Josef Stalin in the Soviet Uni,What is the policy promoted by the Bolsheviks in their Marxist–Leninist ideology?,Democratic centralism that allowed members to elect leaders and decide on policy
phi,qg_squadshifts_new_wiki,"Prior to the formation of the conservative coalition, which helped realign the Democratic and Republ",What is the name of the international organization that the Republican Party is a full member of?,The International Democrat Union.
phi,qg_squadshifts_new_wiki,"Prior to the formation of the conservative coalition, which helped realign the Democratic and Republ",How many Americans identify as Republican according to the most recent Gallup poll?,25%
phi,qg_squadshifts_new_wiki,"In 2012, the Pew Research Center conducted a study of registered voters with a 35–28, Democrat-to-Re",What was the party gap in the Pew Research Center's study on registered voters?,"The Pew Research Center conducted a study of registered voters in 2012 with a 35-28, Democrat-to-Republican gap."
phi,qg_squadshifts_new_wiki,"In 2012, the Pew Research Center conducted a study of registered voters with a 35–28, Democrat-to-Re",How did self-described Democrats and Republicans differ among college graduates?,"They found that self-described Democrats had an 8 advantage over Republicans among college graduates, while they were 12 among all post-graduates polled."
phi,qg_squadshifts_new_wiki,"In 2012, the Pew Research Center conducted a study of registered voters with a 35–28, Democrat-to-Re",What was the gap between white men with college degrees and women with degrees in terms of party affiliation?,"Republicans were 11 among them, while Democrats were 10."
phi,qg_squadshifts_new_wiki,"In 2012, the Pew Research Center conducted a study of registered voters with a 35–28, Democrat-to-Re",How did Republicans and Democrats differ by education level?,"Democrats accounted for 36% of all respondents with an education of high school or less, while Republicans were 28%. When isolating just white registered voters polled, Republicans had a 6 advantage overall and were 9 of those with a high school education or less."
phi,qg_squadshifts_new_wiki,"In 2012, the Pew Research Center conducted a study of registered voters with a 35–28, Democrat-to-Re",What was the overall party gap among college graduates?,"The overall party gap in this study was 35-28, Democrat-to-Republican."
phi,qg_squadshifts_new_wiki,"Oxford was first settled in Saxon times and was initially known as ""Oxenaforda"", meaning ""Ford of th",What is the meaning behind the name 'Oxford'?,It means 'Ford of the Oxen' in Old English
phi,qg_squadshifts_new_wiki,"Oxford was first settled in Saxon times and was initially known as ""Oxenaforda"", meaning ""Ford of th",When was Oxford first settled?,Around Saxon times (AD 900) when it was known as 'Oxenaforda'.
phi,qg_squadshifts_new_wiki,"Oxford was first settled in Saxon times and was initially known as ""Oxenaforda"", meaning ""Ford of th",What did the passage suggest about fords and bridges during Saxon times?,Fords were more common than bridges.
phi,qg_squadshifts_new_wiki,"Oxford was first settled in Saxon times and was initially known as ""Oxenaforda"", meaning ""Ford of th",When did Oxford become an important military frontier town?,In the 10th century.
phi,qg_squadshifts_new_wiki,"Oxford was first settled in Saxon times and was initially known as ""Oxenaforda"", meaning ""Ford of th",Which kingdoms was Oxford between in the 10th century?,Mercia and Wessex.
phi,qg_squadshifts_new_wiki,"The Awakening had a major impact in reshaping the Congregational, Presbyterian, Dutch Reformed, and ","What was the impact of the Awakening on the Congregational, Presbyterian, Dutch Reformed, and German Reformed denominations?",It had a major impact in reshaping these denominations.
phi,qg_squadshifts_new_wiki,"The Awakening had a major impact in reshaping the Congregational, Presbyterian, Dutch Reformed, and ",Which Baptist and Methodist denominations were strengthened by the Awakening?,They were strengthened.
phi,qg_squadshifts_new_wiki,"However, decentralization itself has been seen as part of a systems approach. Norman Johnson of Los ",What has been seen as part of a systems approach in decentralization?,decentralization itself
phi,qg_squadshifts_new_wiki,"However, decentralization itself has been seen as part of a systems approach. Norman Johnson of Los ",Who wrote a paper on agent systems in 1999?,Norman Johnson of Los Alamos National Laboratory
phi,qg_squadshifts_new_wiki,"Since the 1970s there has been deregulation of some industries, like banking, trucking, airlines and",What industries were deregulated in the 1970s and 1980s?,"Some industries, such as banking, trucking, airlines and telecommunications, were deregulated"
phi,qg_squadshifts_new_wiki,"Since the 1970s there has been deregulation of some industries, like banking, trucking, airlines and",How did deregulation affect competition and prices in these industries?,It resulted generally in more competition and lower prices.
phi,qg_squadshifts_new_wiki,"Since the 1970s there has been deregulation of some industries, like banking, trucking, airlines and",What is the Cato Institute's opinion on deregulation?,"The Cato Institute, an American libertarian think-tank, believes that some aspects of industry deregulation were offset by more ambitious regulations elsewhere that hurt consumers, like the electricity industry"
