model,dataset,passage,question,answer
phi,qg_squad,"East of the divide, several roughly parallel ranges cover the southern part of the state, including ",What is the highest point in Montana?,"Granite Peak with a height of 12,799 feet"
phi,qg_squad,"East of the divide, several roughly parallel ranges cover the southern part of the state, including ",Which mountain range forms the northernmost boundary of Montana?,Big Belt Mountains
phi,qg_squad,Thailand: The April 18 relay through Bangkok was the Olympic flame's first visit to Thailand. The re,What is the name of Thailand's capital city?,Bangkok
phi,qg_squad,The name Wayback Machine was chosen as a droll reference to a plot device in an animated cartoon ser,What is a joke reference?,"A droll reference to a plot device in an animated cartoon series, The Rocky and Bullwinkle Show."
phi,qg_squad,The name Wayback Machine was chosen as a droll reference to a plot device in an animated cartoon ser,What was the name of the time machine used by Mr. Peabody and Sherman?,The WABAC (pronounced way-back) machine.
phi,qg_squad,The name Wayback Machine was chosen as a droll reference to a plot device in an animated cartoon ser,In what format should your output be?,JSON array
phi,qg_squad,"An important property of light fixtures is the luminous efficacy or wall-plug efficiency, meaning th",What is the importance of luminous efficacy or wall-plug efficiency in light fixtures?,The amount of usable light emitted per unit of energy used.
phi,qg_squad,"An important property of light fixtures is the luminous efficacy or wall-plug efficiency, meaning th",How can we measure the efficiency of a fixture using replaceable light sources?,By quoting the percentage of light passed from the 'bulb' to the surroundings.
phi,qg_squad,"An important property of light fixtures is the luminous efficacy or wall-plug efficiency, meaning th",What is the relationship between shading and lighting efficacy?,Shading will normally decrease efficiency but increase directionality and visual comfort probability.
phi,qg_squad,"Beyond the energy factors being considered, it is important not to over-design illumination, lest ad",What are some of the health effects associated with over-illumination?,"Some adverse health effects that may be induced by higher lighting levels include headache frequency, stress, and increased blood pressure."
phi,qg_squad,"Beyond the energy factors being considered, it is important not to over-design illumination, lest ad",How can glare or excess light affect workers' efficiency?,Glare or excess light can decrease worker efficiency.
phi,qg_squad,"According to the official Twenty-Four Histories, the History of Ming compiled in 1739 by the subsequ",What was the name of the administrative office established by the Ming dynasty in western Tibet?,The É-Lì-Sī Army-Civilian Marshal Office.
phi,qg_squad,"According to the official Twenty-Four Histories, the History of Ming compiled in 1739 by the subsequ",How many Itinerant Commandery's were set up to administer Kham under the Ming dynasty?,Two.
phi,qg_squad,There have been two major trends in the changing status of pet dogs. The first has been the 'commodi,What are two major trends in the changing status of pet dogs?,"The first trend is the 'commodification' of the dog, shaping it to conform to human expectations of personality and behavior. The second trend has been the broadening of the concept of the family and home to include dogs as part of everyday routines and practices."
phi,qg_squad,There have been two major trends in the changing status of pet dogs. The first has been the 'commodi,What are the two major trends in pet dogs?,"The first major trend is the 'commodification' of the dog, shaping it to conform to human expectations of personality and behavior. The second trend has been the broadening of the concept of the family and home to include dogs as part of everyday routines and practices."
phi,qg_squad,There have been two major trends in the changing status of pet dogs. The first has been the 'commodi,What are two significant changes in the status of pet dogs?,"The first is the 'commodification' of the dog, which means shaping it to meet human expectations. The second change has been broadening the concept of the family and home to include dogs as part of everyday life."
phi,qg_squad,There have been two major trends in the changing status of pet dogs. The first has been the 'commodi,What are two trends in the changing status of pet dogs?,"The first trend is 'commodification' of the dog, shaping it to meet human expectations. The second trend has been broadening the concept of the family and home to include dogs as part of everyday life."
