model,dataset,passage,question,answer
nemotron-mini,qg_squad,"Allusions to legal issues in To Kill a Mockingbird, particularly in scenes outside of the courtroom,",Who wrote the opening quote in the passage?,Charles Lamb
nemotron-mini,qg_squad,"Allusions to legal issues in To Kill a Mockingbird, particularly in scenes outside of the courtroom,",Who is Claudia Durst Johnson and what does she write about?,Claudia Durst Johnson writes that 'a greater volume of critical readings has been amassed by two legal scholars in law journals than by all the literary scholars in literary journals'.
nemotron-mini,qg_squad,"Allusions to legal issues in To Kill a Mockingbird, particularly in scenes outside of the courtroom,",Who are Atticus Finch and his children?,"Atticus Finch is Scout and Jem's father, and they discuss laws."
nemotron-mini,qg_squad,"Allusions to legal issues in To Kill a Mockingbird, particularly in scenes outside of the courtroom,",What does Mayella Ewell do to her father?,Mayella Ewell is beaten by her father in punishment for kissing Tom Robinson.
nemotron-mini,qg_squad,"The iTunes Store (introduced April 29, 2003) is an online media store run by Apple and accessed thro",What was introduced first: iTunes Store or Apple?,Apple
nemotron-mini,qg_squad,"The iTunes Store (introduced April 29, 2003) is an online media store run by Apple and accessed thro",Which feature did iTunes store sell videos on?,"October 12, 2005"
nemotron-mini,qg_squad,"The iTunes Store (introduced April 29, 2003) is an online media store run by Apple and accessed thro",When was full-length movies made available through iTunes Store?,"September 12, 2006"
nemotron-mini,qg_squad,"Beyoncé and her mother introduced House of Deréon, a contemporary women's fashion line, in 2005. The",Who founded House of Deréon?,Beyoncé and her mother
nemotron-mini,qg_squad,"Beyoncé and her mother introduced House of Deréon, a contemporary women's fashion line, in 2005. The",What inspired the concept behind House of Deréon?,three generations of women in their family
nemotron-mini,qg_squad,"Beyoncé and her mother introduced House of Deréon, a contemporary women's fashion line, in 2005. The",In what year was House of Deréon introduced?,2005
nemotron-mini,qg_squad,"Beyoncé and her mother introduced House of Deréon, a contemporary women's fashion line, in 2005. The",Who is Agnèz Deréon?,"Beyoncé's grandmother, a respected seamstress"
nemotron-mini,qg_squad,"English is the official language in the state of Montana, as it is in many U.S. states. English is a",What is the official language in Montana?,English
nemotron-mini,qg_squad,"English is the official language in the state of Montana, as it is in many U.S. states. English is a",What percentage of people aged 5 and older speak English at home in Montana?,94.8 percent
nemotron-mini,qg_squad,"English is the official language in the state of Montana, as it is in many U.S. states. English is a",How many Spanish speakers were there in Montana in 2011?,"13,040"
nemotron-mini,qg_squad,"English is the official language in the state of Montana, as it is in many U.S. states. English is a",What percentage of the state population speaks a Native American language in Montana?,1.1 percent
nemotron-mini,qg_squad,"English is the official language in the state of Montana, as it is in many U.S. states. English is a",How many speakers are there of Asian or Pacific Islander languages in Montana as of 2013?,"4,052"
nemotron-mini,qg_squad,"In China, a call to boycott French hypermart Carrefour from May 1 began spreading through mobile tex","What did Chinese protesters accuse Carrefour's major shareholder, LVMH Group, of donating funds to?",Dalai Lama.
nemotron-mini,qg_squad,"In China, a call to boycott French hypermart Carrefour from May 1 began spreading through mobile tex",How were some shoppers blocked and hit with water bottles in Kunming?,by boycotters wielding large Chinese flags
nemotron-mini,qg_squad,"In China, a call to boycott French hypermart Carrefour from May 1 began spreading through mobile tex",What did Carrefour deny any involvement or support for?,Tibetan issue.
nemotron-mini,qg_squad,"During the Western Schism, many cardinals were created by the contending popes. Beginning with the r",What term was given to cardinals who were created but not named during the Western Schism?,credi et reservati in pectore.
nemotron-mini,qg_squad,"There is a project involving the future relocation of Plymouth City Council's headquarters, the civi",What would be demolished along with Plymouth City Council's headquarters?,the civic centre
nemotron-mini,qg_squad,"There is a project involving the future relocation of Plymouth City Council's headquarters, the civi",Where is the civic centre to be relocated to?,Bretonside bus station
nemotron-mini,qg_squad,"There is a project involving the future relocation of Plymouth City Council's headquarters, the civi",What would happen to the land from the demolished civic centre?,being sold off
nemotron-mini,qg_squad,"There is a project involving the future relocation of Plymouth City Council's headquarters, the civi",What type of retail space is planned for Millbay regeneration?,"mixed residential, retail and office space alongside the ferry port"
nemotron-mini,qg_squad,"A 2005 paper states ""recent research has failed to support earlier findings that pet ownership is as",What has recent research failed to support?,"earlier findings that pet ownership is associated with a reduced risk of cardiovascular disease, a reduced use of general practitioner services, or any psychological or physical benefits on health for community dwelling older people."
nemotron-mini,qg_squad,"A 2005 paper states ""recent research has failed to support earlier findings that pet ownership is as",In what group did new guardians report a highly significant reduction in minor health problems during the first month following pet acquisition?,those with dogs
nemotron-mini,qg_squad,"Within Buddhism, samsara is defined as the continual repetitive cycle of birth and death that arises",What does avidya mean in Buddhism?,ignorance
nemotron-mini,qg_squad,"Within Buddhism, samsara is defined as the continual repetitive cycle of birth and death that arises",What is the dukkha associated with samsara?,"suffering, anxiety, dissatisfaction"
nemotron-mini,qg_squad,New York City has been a metropolitan municipality with a mayor-council form of government since its,What is a mayor-council form of government in New York City?,New York City has been a metropolitan municipality with this form of government since its consolidation in 1898.
nemotron-mini,qg_squad,New York City has been a metropolitan municipality with a mayor-council form of government since its,Which U.S. cities have more centralized governments like New York City?,"New York City, Washington D.C., and Chicago are known for their centralized forms of government."
nemotron-mini,qg_squad,Another non-obligate symbiosis is known from encrusting bryozoans and hermit crabs that live in a cl,What is the name of the bryozoan colony?,Acanthodesia commensale
nemotron-mini,qg_squad,Another non-obligate symbiosis is known from encrusting bryozoans and hermit crabs that live in a cl,Which hermit crab species offers a helicospiral-tubular extension to the bryozoan colony?,Pseudopagurus granulimanus
