model,dataset,passage,question,answer
llama3:8b,qg_squadshifts_nyt,"KENTUCKY 74, MISSISSIPPI ST. 56 Top-ranked Kentucky fought off a slow start to cruise to a victory o",Who scored a career-high 18 points?,Trey Lyles
llama3:8b,qg_squadshifts_nyt,"KENTUCKY 74, MISSISSIPPI ST. 56 Top-ranked Kentucky fought off a slow start to cruise to a victory o",How many points did Aaron Harrison score?,16
llama3:8b,qg_squadshifts_nyt,"KENTUCKY 74, MISSISSIPPI ST. 56 Top-ranked Kentucky fought off a slow start to cruise to a victory o",What was Kentucky's record going into the game?,"28-0, 15-0"
llama3:8b,qg_squadshifts_nyt,"KENTUCKY 74, MISSISSIPPI ST. 56 Top-ranked Kentucky fought off a slow start to cruise to a victory o",Who scored 20 points for Baylor?,Taurean Prince
llama3:8b,qg_squadshifts_nyt,"KENTUCKY 74, MISSISSIPPI ST. 56 Top-ranked Kentucky fought off a slow start to cruise to a victory o",When did the last team other than Kansas win in Ames?,2012
llama3:8b,qg_squadshifts_nyt,"That’s what we’re doing, anyway. You can find other recipes for the weekend at Cooking. Please save ",What is the purpose of saving recipes to a recipe box?,to find them later with ease
llama3:8b,qg_squadshifts_nyt,"That’s what we’re doing, anyway. You can find other recipes for the weekend at Cooking. Please save ",How can you rate recipes after cooking?,on a scale of one to five stars
llama3:8b,qg_squadshifts_nyt,"That’s what we’re doing, anyway. You can find other recipes for the weekend at Cooking. Please save ",What is the contact email for Cooking,cookingcare@nytimes.com
llama3:8b,qg_squadshifts_nyt,"That’s what we’re doing, anyway. You can find other recipes for the weekend at Cooking. Please save ",Where else can you find Cooking on social media?,"Twitter, Facebook, Pinterest and Instagram"
llama3:8b,qg_squadshifts_nyt,"That’s what we’re doing, anyway. You can find other recipes for the weekend at Cooking. Please save ",What should you do if you encounter problems with the recipes or site?,reach out
llama3:8b,qg_squadshifts_nyt,"Re “Falling Through the Legal Cracks” (Business Day, Dec. 30): The failure of General Motors to take",What is the topic of the passage?,Corporate morality and accountability
llama3:8b,qg_squadshifts_nyt,"Re “Falling Through the Legal Cracks” (Business Day, Dec. 30): The failure of General Motors to take",Why do plaintiffs need to be able to sue without caps?,Because corporations will not take morally required actions otherwise
llama3:8b,qg_squadshifts_nyt,"Re “Falling Through the Legal Cracks” (Business Day, Dec. 30): The failure of General Motors to take",What are some examples of corporate failures mentioned in the passage?,Flammable pajamas and lack of safety guards on dangerous machinery
llama3:8b,qg_squadshifts_nyt,"Re “Falling Through the Legal Cracks” (Business Day, Dec. 30): The failure of General Motors to take",What is one reason why corporations do not take steps to protect the public,Because they weigh costs against risks and take steps to discourage lawsuits
llama3:8b,qg_squadshifts_nyt,"Re “Falling Through the Legal Cracks” (Business Day, Dec. 30): The failure of General Motors to take",What type of damages are potentially awarded in lawsuits mentioned in the passage?,Punitive damages
llama3:8b,qg_squadshifts_nyt,"An appealing portrait miniature of a woman who loses and finds her bearings, “Alex of Venice” takes ",Where does the heroine Alex grow up?,Venice
llama3:8b,qg_squadshifts_nyt,"An appealing portrait miniature of a woman who loses and finds her bearings, “Alex of Venice” takes ",What is the name of the neighborhood where Alex grows up?,Los Angeles
llama3:8b,qg_squadshifts_nyt,"An appealing portrait miniature of a woman who loses and finds her bearings, “Alex of Venice” takes ","What kind of attraction does the director, Chris Messina, point out?",Pictureque sites
llama3:8b,qg_squadshifts_nyt,"An appealing portrait miniature of a woman who loses and finds her bearings, “Alex of Venice” takes ",What landmark serves as a gateway to the Pacific?,Venice sign
llama3:8b,qg_squadshifts_nyt,"An appealing portrait miniature of a woman who loses and finds her bearings, “Alex of Venice” takes ",Who immortalized the arched walkways in 'Touch of Evil'?,Orson Welles
llama3:8b,qg_squadshifts_nyt,Q. Who stands to lose the most from defaults? A. Puerto Rico bonds had been held widely by mutual fu,Who stands to lose the most from defaults?,Puerto Rico bonds had been held widely by mutual funds on the mainland United States
llama3:8b,qg_squadshifts_nyt,Q. Who stands to lose the most from defaults? A. Puerto Rico bonds had been held widely by mutual fu,What has shifted in terms of who holds Puerto Rico bonds?,"The concentration has shifted, as hedge funds have bought up as much as a quarter of the debt"
llama3:8b,qg_squadshifts_nyt,Q. Who stands to lose the most from defaults? A. Puerto Rico bonds had been held widely by mutual fu,Who are another vulnerable group that stands to lose from defaults?,Puerto Rico residents who have sunk much of their wealth into local bonds and decimated their retirement savings
llama3:8b,qg_squadshifts_nyt,Q. Who stands to lose the most from defaults? A. Puerto Rico bonds had been held widely by mutual fu,What was the price at which some Puerto Rico bonds were bought?,Distressed prices
llama3:8b,qg_squadshifts_nyt,Q. Who stands to lose the most from defaults? A. Puerto Rico bonds had been held widely by mutual fu,What is another consequence that could occur if bond values are hit again?,Ruining their investments
llama3:8b,qg_squadshifts_nyt,"One of the less predictable turn of events was the bland performance by Neil Patrick Harris, a veter",Who hosted the Oscars for the first time on Sunday?,Neil Patrick Harris
llama3:8b,qg_squadshifts_nyt,"One of the less predictable turn of events was the bland performance by Neil Patrick Harris, a veter",What was one successful stretch of Neil Patrick Harris' performance?,A parody of a scene from 'Birdman'
llama3:8b,qg_squadshifts_nyt,"One of the less predictable turn of events was the bland performance by Neil Patrick Harris, a veter",Who ran through Times Square in his underpants in the parody?,Michael Keaton
llama3:8b,qg_squadshifts_nyt,"One of the less predictable turn of events was the bland performance by Neil Patrick Harris, a veter",What did Neil Patrick Harris wear during the sketch?,"White briefs, black socks, and shoes"
llama3:8b,qg_squadshifts_nyt,"One of the less predictable turn of events was the bland performance by Neil Patrick Harris, a veter",How was Neil Patrick Harris' physical shape described in the passage?,In good shape
llama3:8b,qg_squadshifts_nyt,"Let’s start with an update from our last episode, which you may recall concerned a battle between a ",Who was the monk involved in the confrontation?,Brother Noah
llama3:8b,qg_squadshifts_nyt,"Let’s start with an update from our last episode, which you may recall concerned a battle between a ",What corporation was Brother Noah in conflict with?,United Airlines
llama3:8b,qg_squadshifts_nyt,"Let’s start with an update from our last episode, which you may recall concerned a battle between a ",Where is the Monastery of Christ in the Desert located?,"Abiquiu, N.M."
llama3:8b,qg_squadshifts_nyt,"Let’s start with an update from our last episode, which you may recall concerned a battle between a ",How did Brother Noah respond to an unhelpful United phone rep?,Thank you for speaking. God bless you. I will pray for you. But you have not been helpful
llama3:8b,qg_squadshifts_nyt,"Let’s start with an update from our last episode, which you may recall concerned a battle between a ",What did Brother Noah say about the Haggler's column in his email?,"I am sure that nobody enters a monastery to become an Internet meme, but the brothers and I are doing O.K."
llama3:8b,qg_squadshifts_nyt,Mr. Farley is firm about what it takes for a ballet dancer to succeed. “It’s about the particular pe,What is Mr. Farley's perspective on what it takes for a ballet dancer to succeed?,It's about the particular person and their particular gifts
llama3:8b,qg_squadshifts_nyt,Mr. Farley is firm about what it takes for a ballet dancer to succeed. “It’s about the particular pe,What does Mr. Farley consider secondary or tertiary in determining success as a ballet dancer?,"The dancer's race, socio-economic background, and parents' education"
llama3:8b,qg_squadshifts_nyt,Mr. Farley is firm about what it takes for a ballet dancer to succeed. “It’s about the particular pe,How do different generations view the issue of changing the racial makeup of ballet companies?,They see it differently
llama3:8b,qg_squadshifts_nyt,"As part of their increased oversight, financial regulators have been cracking down recently on insid",Who was arrested for suspected insider trading?,Xu Xiang
llama3:8b,qg_squadshifts_nyt,"As part of their increased oversight, financial regulators have been cracking down recently on insid","What is Xu Xiang's nickname, according to the passage?",The Carl Icahn of China
llama3:8b,qg_squadshifts_nyt,"As part of their increased oversight, financial regulators have been cracking down recently on insid",What does the securities regulator intend to simplify for smaller companies?,The approval process
llama3:8b,qg_squadshifts_nyt,"As part of their increased oversight, financial regulators have been cracking down recently on insid","What do the new measures aim to increase, according to Mr. Deng?",Protections for investors' rights and interests
llama3:8b,qg_squadshifts_nyt,"As part of their increased oversight, financial regulators have been cracking down recently on insid",What was jointly published by China's central bank and securities regulator?,Guidelines for investment firms in mainland China and Hong Kong to gain access to each other's markets
llama3:8b,qg_squadshifts_nyt,"Family Day: ‘Spring Into Nowruz!’ (Saturday) We’ve had the Western New Year, the Chinese New Year an",What is the name of the event?,Family Day: 'Spring Into Nowruz!'
llama3:8b,qg_squadshifts_nyt,"Family Day: ‘Spring Into Nowruz!’ (Saturday) We’ve had the Western New Year, the Chinese New Year an",When does the event take place?,Saturday
llama3:8b,qg_squadshifts_nyt,"Family Day: ‘Spring Into Nowruz!’ (Saturday) We’ve had the Western New Year, the Chinese New Year an",What types of performances will be featured?,"Song and dance from the J-Hoon Musical Ensemble, Nowruz folk song performances, singalong"
llama3:8b,qg_squadshifts_nyt,"Family Day: ‘Spring Into Nowruz!’ (Saturday) We’ve had the Western New Year, the Chinese New Year an",What activities are available for children?,"Persian crafts, including mosaics and collages"
llama3:8b,qg_squadshifts_nyt,"Family Day: ‘Spring Into Nowruz!’ (Saturday) We’ve had the Western New Year, the Chinese New Year an",What is the time range of the event?,1 to 4 p.m.
llama3:8b,qg_squadshifts_nyt,"Mr. Harrell also had a history of heart disease and drug abuse, which the autopsy report said contri",What contributed to Mr. Harrell's death?,Heart disease and drug abuse
llama3:8b,qg_squadshifts_nyt,"Mr. Harrell also had a history of heart disease and drug abuse, which the autopsy report said contri",How did Mr. Harrell seem on the day he died?,Depressed and withdrawn
llama3:8b,qg_squadshifts_nyt,"Mr. Harrell also had a history of heart disease and drug abuse, which the autopsy report said contri",Why was Mr. Harrell shaking his head yes when asked what was wrong?,His mother had died in November
llama3:8b,qg_squadshifts_nyt,"Mr. Harrell also had a history of heart disease and drug abuse, which the autopsy report said contri",What did Mr. Harrell tell two officers around 8:30 that night?,That his wife and sister were coming to pick him up and take him home
llama3:8b,qg_squadshifts_nyt,"Mr. Harrell also had a history of heart disease and drug abuse, which the autopsy report said contri",When was Mr. Harrell's earliest release date from prison?,September 2020
llama3:8b,qg_squadshifts_nyt,"On the evening of April 21 in Building 21 at the Fishkill Correctional Facility, Samuel Harrell, an ",Where did Samuel Harrell pack his bags and announce he was going home?,Building 21 at the Fishkill Correctional Facility
llama3:8b,qg_squadshifts_nyt,"On the evening of April 21 in Building 21 at the Fishkill Correctional Facility, Samuel Harrell, an ",What was Samuel Harrell's history linked to?,Bipolar disorder
llama3:8b,qg_squadshifts_nyt,"On the evening of April 21 in Building 21 at the Fishkill Correctional Facility, Samuel Harrell, an ",How many officers were involved in the confrontation with Samuel Harrell?,As many as 20
llama3:8b,qg_squadshifts_nyt,"On the evening of April 21 in Building 21 at the Fishkill Correctional Facility, Samuel Harrell, an ",Why did some of the corrections officers shout during the confrontation?,Racial slurs
llama3:8b,qg_squadshifts_nyt,"On the evening of April 21 in Building 21 at the Fishkill Correctional Facility, Samuel Harrell, an ",What shape was Samuel Harrell found in on the landing after being thrown or dragged down the staircase?,Impossible position
llama3:8b,qg_squadshifts_nyt,Tennessee is looking to return to national prominence in its third season under Coach Butch Jones. O,What is Tennessee's goal for its third season under Coach Butch Jones?,To return to national prominence
llama3:8b,qg_squadshifts_nyt,Tennessee is looking to return to national prominence in its third season under Coach Butch Jones. O,How many yards did Alvin Kamara rush for in his debut against Bowling Green?,144
llama3:8b,qg_squadshifts_nyt,Tennessee is looking to return to national prominence in its third season under Coach Butch Jones. O,What was the total rushing yards for Tennessee in its game against Bowling Green?,399
