model,dataset,passage,question,answer
phi,qg_squadshifts_amazon,What's great about this shelf is that the feet are adjustable. I bought a cheaper one before and it ,What'S great about this shelf?,The feet are adjustable.
phi,qg_squadshifts_amazon,What's great about this shelf is that the feet are adjustable. I bought a cheaper one before and it ,Why did I buy a cheaper one before?,Because it wasn't adjustable and didn't work out.
phi,qg_squadshifts_amazon,What's great about this shelf is that the feet are adjustable. I bought a cheaper one before and it ,How long did it take me to put together the shelf?,Maybe 10 minutes.
phi,qg_squadshifts_amazon,What's great about this shelf is that the feet are adjustable. I bought a cheaper one before and it ,What's special about the reservoir cut into the shelf?,"It helps with little spills that can happen when replacing cloths, sponges or pot scrubbers onto it."
phi,qg_squadshifts_amazon,"It is so easy to use, I can stand in one spot and vacuum a large area at one time. Having two batter",What is so easy to use according to the passage?,Vacuum
phi,qg_squadshifts_amazon,"It is so easy to use, I can stand in one spot and vacuum a large area at one time. Having two batter",How many batteries does this machine have and what are their purposes?,"It has two batteries, one in it (not in the charging holder) that goes down quickly and the back-up finishes the house."
phi,qg_squadshifts_amazon,"It is so easy to use, I can stand in one spot and vacuum a large area at one time. Having two batter",What is the first problem mentioned in the passage about using this vacuum cleaner?,The screw on the side between the handle and the bottom won't stay screwed in.
phi,qg_squadshifts_amazon,"It is so easy to use, I can stand in one spot and vacuum a large area at one time. Having two batter",How does the user feel after using the vacuum cleaner according to the passage?,The user always amazes themselves that they can make such a mess to fill the filter!
phi,qg_squadshifts_amazon,"It is so easy to use, I can stand in one spot and vacuum a large area at one time. Having two batter",What is the main feature of this vacuum cleaner according to the passage?,It picks up great and fast.
phi,qg_squadshifts_amazon,I have been given some loose tea and xlarge tea bags so I bought a tea ball.It worked great.I am sur,What is the name of the person who created this passage?,The author of the passage has not been named in the input provided.
phi,qg_squadshifts_amazon,I have been given some loose tea and xlarge tea bags so I bought a tea ball.It worked great.I am sur,How many tea bags were mentioned in the passage?,Two tea bags were mentioned in the passage: 'loose tea' and 'xlarge tea bags'.
phi,qg_squadshifts_amazon,I have been given some loose tea and xlarge tea bags so I bought a tea ball.It worked great.I am sur,What is the purpose of the tea ball mentioned in the passage?,The tea ball was used for making tea. It was successful and the author believes it will last a long time.
phi,qg_squadshifts_amazon,I have been given some loose tea and xlarge tea bags so I bought a tea ball.It worked great.I am sur,What does the author say about the sturdiness of the tea ball?,The author says that the tea ball locks closed and seems sturdy.
phi,qg_squadshifts_amazon,I have been given some loose tea and xlarge tea bags so I bought a tea ball.It worked great.I am sur,What other uses could the tea ball have according to the passage?,The passage does not mention any other potential uses for the tea ball.
phi,qg_squadshifts_amazon,My cheapie 10 year old toaster finally stopped staying down on one side. I had been waiting for a re,What was the main reason for replacing the 10 year old toaster?,The toaster had stopped staying down on one side.
phi,qg_squadshifts_amazon,My cheapie 10 year old toaster finally stopped staying down on one side. I had been waiting for a re,How did the reviewer feel about their new toaster?,"The review is positive, the reviewer was excited and happy to finally replace their old toaster that they had been waiting for a few years. They also thought it matched perfectly with other retro pieces in their kitchen."
phi,qg_squadshifts_amazon,My cheapie 10 year old toaster finally stopped staying down on one side. I had been waiting for a re,What were some of the limitations of the new toaster as per the review?,The reviewer mentioned that the power cord was too short and had to be placed in a way so that it could reach an outlet.
phi,qg_squadshifts_amazon,Great strainer- an awesome piece of Kitchenaid accessories. It arrived a little dirty. The handles a,What are the advantages of using a Great Strainer?,"It arrives a little dirty but has rubberized handles and makes no noise when dropped in the sink. The handles are great and sturdy, the whole bowl lining is thick and quality for your needs, and it is dishwasher safe or can be rinsed out. It does not heat up like stainless steel and is perfect for straining. I love that it is a large bowl as there is no spilling or overflowing with this product - glad to have ordered it."
phi,qg_squadshifts_amazon,owning a bar means i have likely the worst schedule for sleeping possible. consequently i smoke befo,Why does the author smoke before bed?,The author smokes before bed to help them sleep since they have a hard time falling asleep without smoking
phi,qg_squadshifts_amazon,owning a bar means i have likely the worst schedule for sleeping possible. consequently i smoke befo,What is the author's wife's opinion of the smoke in their home?,The author's wife hates the smell of smoke and it is not an issue when it is warm but becomes a problem during cold months when windows freeze shut.
phi,qg_squadshifts_amazon,owning a bar means i have likely the worst schedule for sleeping possible. consequently i smoke befo,How long does the author believe the fabric softner sheet can prolong the life of the smoke buddy?,The author believes that the sheet can prolong the lifespan of the smoke buddy by catching heavier tars instead of allowing them to accumulate on the inside and making it less effective. It also doesn't impede airflow in any way.
phi,qg_squadshifts_amazon,owning a bar means i have likely the worst schedule for sleeping possible. consequently i smoke befo,What is the main reason the author smokes before bed?,The author's main reason for smoking before bed is that they have a hard time falling asleep without it
phi,qg_squadshifts_amazon,owning a bar means i have likely the worst schedule for sleeping possible. consequently i smoke befo,How does the cold weather affect the smoke buddy?,"During cold months, when windows freeze shut, the smoke buddy becomes less effective as it can't be used outside."
phi,qg_squadshifts_amazon,I've used my mother's Bissell several times. I got tired of borrowing hers and decided to purchase m,How much does a Bissell Agility cost?,$180
phi,qg_squadshifts_amazon,"The Bodum toaster is really easy to use, with just enough settings to give you exactly what you want",What are some features of the Bodum toaster?,"The Bodum toaster has just enough settings to give you exactly what you want, but not so many that you need a manual to figure it out."
phi,qg_squadshifts_amazon,"The Bodum toaster is really easy to use, with just enough settings to give you exactly what you want",How does the Bun warmer work with the Bodum toaster?,The buns just sit on pop up rods over the toaster and the heat from the toaster warms them up. The toast comes out perfect every time and always comes out of the toaster properly.
phi,qg_squadshifts_amazon,"The Bodum toaster is really easy to use, with just enough settings to give you exactly what you want",What is a possible issue that can happen with the Bodum toaster?,"I haven't had any issues with toast getting stuck inside of the toaster, or burnt edges. This toaster is really big, but looks nice on the counter and I have had complements on it."
phi,qg_squadshifts_amazon,If you have ice cream that is so hard that you cannot easily dish up appropriate portions with this ,What is wrong with the hard ice cream that makes it difficult to dish out portions with this scoop?,It is too hard for the person to eat
phi,qg_squadshifts_amazon,"After buying several plastic insulated travel mugs from Starbucks, I was looking for something bette",What type of material is the best for keeping water and coffee hot?,Stainless steel
phi,qg_squadshifts_amazon,"These are absolutely terrible pillows for side sleepers, and I wouldn't recommend them to anyone (un",Do these pillows provide adequate support?,"No, it is not recommended for side sleepers"
