model,dataset,passage,question,answer
phi,qg_squadshifts_nyt,"The boundaries of the neighborhood, which is about 0.6 square mile, are roughly Flushing Avenue to t",What are the boundaries of Flushing?,"The boundaries of Flushing, which is about 0.6 square mile, are roughly Flushing Avenue to the north, Atlantic Avenue to the south, Vanderbilt Avenue to the west and Classon Avenue to the east."
phi,qg_squadshifts_nyt,"The boundaries of the neighborhood, which is about 0.6 square mile, are roughly Flushing Avenue to t",What was the population of Flushing in the ?,"The United States Census Bureau’s 2000-2002 American Community Survey estimated the population as 39 percent white, 36 percent black, 16 percent Hispanic and 5 percent Asian."
phi,qg_squadshifts_nyt,"The boundaries of the neighborhood, which is about 0.6 square mile, are roughly Flushing Avenue to t",What did a 2010 census show about the changes in Flushing's ?,"The 2010 census showed a 149 percent increase in the white population over 2000 and a decline of 29 percent in the number of blacks. The architecture is a mix of wood-frame houses predating the Civil War, Italianate mansions, carriage houses, brownstones, midrise apartment buildings and three- to five-story brick rowhouses."
phi,qg_squadshifts_nyt,"The boundaries of the neighborhood, which is about 0.6 square mile, are roughly Flushing Avenue to t",What are some features of Flushing's architecture?,"Some are scrupulously restored while others are shedding paint. Here and there, a featureless tower pierces the sky. Pratt Institute is the neighborhood’s centerpiece, its greensward campus’s brick pathways braiding through a sculpture garden."
phi,qg_squadshifts_nyt,"The boundaries of the neighborhood, which is about 0.6 square mile, are roughly Flushing Avenue to t",What type of buildings can be found in Flushing?,"Some are scrupulously restored while others are shedding paint. Here and there, a featureless tower pierces the sky. Pratt Institute is the neighborhood’s centerpiece, its greensward campus’s brick pathways braiding through a sculpture garden."
phi,qg_squadshifts_nyt,Ever since the Supreme Court permitted political committees to raise unlimited sums for independent ,How much did Restore Our Future spend on independent expenditures?,"Restore Our Future spent 97.6 percent of its $142 million in independent expenditures,"
phi,qg_squadshifts_nyt,Ever since the Supreme Court permitted political committees to raise unlimited sums for independent ,What was the primary focus of Priorities USA Action?,"Priorities USA Action mainly focused on TV, radio and online advertising"
phi,qg_squadshifts_nyt,Ever since the Supreme Court permitted political committees to raise unlimited sums for independent ,What is one reason donors may have balked at giving large amounts of money for negative television ads?,Donors may have balked because they did not want to give money for negative advertisements
phi,qg_squadshifts_nyt,"NEW YORK Because of an editing error, a picture caption on Saturday with an article about tensions a",What is the correct cost of the museum's annex in Dumbo?,The annex was donated and did not cost $80 million.
phi,qg_squadshifts_nyt,"NEW YORK Because of an editing error, a picture caption on Saturday with an article about tensions a",How much does one model of the Apple Watch start at when fitted with the Milanese loop wristband?,One middle-tier model starts at $650.
phi,qg_squadshifts_nyt,"Q. What other differences do you see between then and now in Formula One? A. Before, I loved it that",Q.What other differences do you see between then and now in Formula One?,"Before, I loved it that it happened on public roads. In Belgium, after the race, after the deaths, we drove around and to look for where it had happened, driving down to Malmedy and thinking about the war. I don’t know how you can make people understand the difference between a public road and a manufactured piste, manufactured corners, and escape roads in every direction and nothing to hit."
phi,qg_squadshifts_nyt,"Q. What other differences do you see between then and now in Formula One? A. Before, I loved it that",Q.But Monza was always a track in a park. That hasn't changed much.,"Yes, that never impressed me, I never liked it. I loved Belgium, I loved Germany, the setting, the fact that they were public roads. Reims was a road race, and you could imagine the Germans coming over in tanks but it was race cars going in the other direction. It wasn’t much of a circuit, it was only a triangle, very, very fast and there was a wrinkle here and there. It was part of the Champagne country and they gave Champagne for the fastest lap and things like that."
phi,qg_squadshifts_nyt,"Q. What other differences do you see between then and now in Formula One? A. Before, I loved it that",Q.But Monza was always a track in a park. That hasn't changed much.,"Yes, that never impressed me, I never liked it. I loved Belgium, I loved Germany, the setting, the fact that they were public roads. Reims was a road race, and you could imagine the Germans coming over in tanks but it was race cars going in the other direction. It wasn’t much of a circuit, it was only a triangle, very, very fast and there was a wrinkle here and there."
phi,qg_squadshifts_nyt,"Q. What other differences do you see between then and now in Formula One? A. Before, I loved it that",Q.But Monza was always a track in a park. That hasn't changed much.,"Yes, that never impressed me, I never liked it. I loved Belgium, I loved Germany, the setting, the fact that they were public roads. Reims was a road race, and you could imagine the Germans coming over in tanks but it was race cars going in the other direction. It wasn’t much of a circuit, it was only a triangle, very, very fast and there was a wrinkle here and there."
phi,qg_squadshifts_nyt,"Q. What other differences do you see between then and now in Formula One? A. Before, I loved it that",Q.But Monza was always a track in a park. That hasn't changed much.,"Yes, that never impressed me, I never liked it. I loved Belgium, I loved Germany, the setting, the fact that they were public roads. Reims was a road race, and you could imagine the Germans coming over in tanks but it was race cars going in the other direction. It wasn’t much of a circuit, it was only a triangle, very, very fast and there was a wrinkle here and there."
phi,qg_squadshifts_nyt,"Mr. Samson resigned as chairman of the Port Authority board in March 2014, and recently retired from",When did Mr. Samson resign as chairman of the Port Authority board?,March 2014.
phi,qg_squadshifts_nyt,"Mr. Samson resigned as chairman of the Port Authority board in March 2014, and recently retired from",Who is Bill Baroni?,"Deputy executive director of the Port Authority and reportedly at the dinner,"
phi,qg_squadshifts_nyt,"Mr. Samson resigned as chairman of the Port Authority board in March 2014, and recently retired from",What was the reason for Mr. Christie's terse statement on Mr. Fox's departure?,It did not include words of praise for Mr. Fox’s service.
phi,qg_squadshifts_nyt,Mr. Farley is firm about what it takes for a ballet dancer to succeed. “It’s about the particular pe,What does Mr. Farley think it takes for a ballet dancer to succeed?,It’s about the particular person and their gifts.
phi,qg_squadshifts_nyt,Mr. Farley is firm about what it takes for a ballet dancer to succeed. “It’s about the particular pe,"According to Mr. Farley, what is more important than a dancer's race or socio-economic background?",Their gifts.
phi,qg_squadshifts_nyt,Mr. Farley is firm about what it takes for a ballet dancer to succeed. “It’s about the particular pe,What does Theresa Ruth Howard think of diversity initiatives in ballet companies?,She sees them with some skepticism
phi,qg_squadshifts_nyt,"Law enforcement agencies, from the Drug Enforcement Administration to local police departments, have",What are Synthetic Cannabinoids?,"Synthetic cannabinoids, substances that look like marijuana sprayed with a hallucinogenic chemical"
phi,qg_squadshifts_nyt,The third force at work is what economists call price discrimination. Businesses of all sorts have a,What is price discrimination?,Price discrimination is when businesses charge different prices to different consumers based on their willingness and ability to pay.
