model,dataset,passage,question,answer
llama3:8b,qg_squadshifts_new_wiki,"However, decentralization itself has been seen as part of a systems approach. Norman Johnson of Los ",What is a decentralized system?,A system where some decisions are made without centralized control or processing
llama3:8b,qg_squadshifts_new_wiki,"However, decentralization itself has been seen as part of a systems approach. Norman Johnson of Los ",What is an important property of agent systems?,The degree of connectivity or connectedness between the agents
llama3:8b,qg_squadshifts_new_wiki,"However, decentralization itself has been seen as part of a systems approach. Norman Johnson of Los ",What happens if each agent is connected to all other agents?,The system is highly connected
llama3:8b,qg_squadshifts_new_wiki,"However, decentralization itself has been seen as part of a systems approach. Norman Johnson of Los ",Who wrote a paper on decentralized systems in 1999?,Norman Johnson of Los Alamos National Laboratory
llama3:8b,qg_squadshifts_new_wiki,"However, decentralization itself has been seen as part of a systems approach. Norman Johnson of Los ",What is the measure of global flow of information or influence?,The degree of connectivity or connectedness between the agents
llama3:8b,qg_squadshifts_new_wiki,"In 1941-42, the majority of Partisans in Croatia were Serbs, but by October 1943 the majority were C",What percentage of partisans in Croatia were Serbs at the end of 1941?,77%
llama3:8b,qg_squadshifts_new_wiki,"In 1941-42, the majority of Partisans in Croatia were Serbs, but by October 1943 the majority were C",What was the percentage of Croats among Croatian partisans by August 1942?,32%
llama3:8b,qg_squadshifts_new_wiki,"In 1941-42, the majority of Partisans in Croatia were Serbs, but by October 1943 the majority were C",What was the percentage of Croats among Croatian partisans by September 1943?,34%
llama3:8b,qg_squadshifts_new_wiki,"In 1941-42, the majority of Partisans in Croatia were Serbs, but by October 1943 the majority were C",What was the breakdown of nationalities in Croatian partisan units at the end of 1944?,"60.4% Croat, 28.6% Serb, 11% other"
llama3:8b,qg_squadshifts_new_wiki,"In 1941-42, the majority of Partisans in Croatia were Serbs, but by October 1943 the majority were C",What percentage of partisans in Croatia were Croats from 1941 to 1945?,61%
llama3:8b,qg_squadshifts_new_wiki,"Thirdly, the American colonies were exceptional in the world because of the representation of many d",What made American colonies exceptional in the world?,The representation of many different interest groups in political decision-making
llama3:8b,qg_squadshifts_new_wiki,"Thirdly, the American colonies were exceptional in the world because of the representation of many d",Who controlled the government in Europe?,Aristocratic families and the established church
llama3:8b,qg_squadshifts_new_wiki,"Thirdly, the American colonies were exceptional in the world because of the representation of many d",What was the unique characteristic of American political culture compared to Europe's?,"Open to economic, social, religious, ethnic and geographical interests"
llama3:8b,qg_squadshifts_new_wiki,"Thirdly, the American colonies were exceptional in the world because of the representation of many d",How many elected representatives lived in their districts?,90%
llama3:8b,qg_squadshifts_new_wiki,"Thirdly, the American colonies were exceptional in the world because of the representation of many d",What was common in England regarding members of Parliament?,Having an absentee member
llama3:8b,qg_squadshifts_new_wiki,"Because of the higher specific gravity of tin dioxide, about 80% of mined tin is from secondary depo",What percentage of mined tin is typically found in secondary deposits?,80%
llama3:8b,qg_squadshifts_new_wiki,"Because of the higher specific gravity of tin dioxide, about 80% of mined tin is from secondary depo",How does most of the world's tin get produced?,From placer deposits
