model,dataset,passage,question,answer
nemotron-mini,qg_squadshifts_nyt,"“I see no reason to delay,” said Linas Linkevicius, the foreign minister of Lithuania. He noted that","Who mentioned that a cease-fire, known as Minsk agreement, between Ukrainian government and Russian-backed separatist rebels had not been fully carried out?",Linas Linkevicius
nemotron-mini,qg_squadshifts_nyt,"“I see no reason to delay,” said Linas Linkevicius, the foreign minister of Lithuania. He noted that",Did Didier Reynders agree with Linas Linkevicius statement?,"If we don’t see real progress in the implementation of the Minsk agreement, then we need to go further."
nemotron-mini,qg_squadshifts_nyt,"“I see no reason to delay,” said Linas Linkevicius, the foreign minister of Lithuania. He noted that",Who mentioned sanctions and rolling them over if no progress is seen?,Federica Mogherini
nemotron-mini,qg_squadshifts_nyt,"The cases, which can involve spice alone or in combination with other substances, have appeared four",How many times did spice cases appear this year compared to 2014?,four times
nemotron-mini,qg_squadshifts_nyt,"The cases, which can involve spice alone or in combination with other substances, have appeared four","Which states have issued alerts about spice users being rushed to hospitals experiencing extreme anxiety, violent behavior and delusions?","Alabama, Mississippi and New York"
nemotron-mini,qg_squadshifts_nyt,"The cases, which can involve spice alone or in combination with other substances, have appeared four",How many cases resulted in death this year?,some
nemotron-mini,qg_squadshifts_nyt,Buffalo has also received solid production from guard Richie Incognito and wide receiver Percy Harvi,Who has been playing well for Buffalo?,Richie Incognito and Percy Harvin.
nemotron-mini,qg_squadshifts_nyt,Buffalo has also received solid production from guard Richie Incognito and wide receiver Percy Harvi,What is Colin Kaepernick's record against the Packers?,He has beaten them once in the regular season and twice in the playoffs.
nemotron-mini,qg_squadshifts_nyt,"Mr. Turnbull, who once used an expletive to describe Mr. Abbott’s climate-change policies, said that",What was Mr. Turnbull's opinion on Mr. Abbott's climate-change policies?,Mr. Turnbull described his policies as 'very substantial'
nemotron-mini,qg_squadshifts_nyt,"Mr. Turnbull, who once used an expletive to describe Mr. Abbott’s climate-change policies, said that",Who criticized the inadequacy of the proposed carbon emissions reduction targets by scientists and environmentalists?,Mr. Turnbull
nemotron-mini,qg_squadshifts_nyt,"“It is a completely different environment than 2008, with different issues and with different candid",What was Bob Vander Plaats' role in Mr. Huckabee's 2008 Iowa campaign?,chairman
nemotron-mini,qg_squadshifts_nyt,"“It is a completely different environment than 2008, with different issues and with different candid","Who is among the top preferences of Iowa Republicans according to recent polls, although surpassed by more prominent party figures including Scott Walker and Mr. Bush?",Mr. Huckabee
nemotron-mini,qg_squadshifts_nyt,Heinrichs was the first female coach of the women’s national team and the first female player electe,Who was the first female coach of the women's national team?,Heinrichs
nemotron-mini,qg_squadshifts_nyt,Heinrichs was the first female coach of the women’s national team and the first female player electe,Which federal law prohibits discrimination based on gender in sports?,Title IX
nemotron-mini,qg_squadshifts_nyt,"Literature has given us especially brilliant stories about office work — “Bartleby the Scrivener,” b",Who is Pliny the Elder and what was his relationship to Pliny the Younger?,"Pliny the Elder, known also as Pliny, was a Roman author, naturalist, and naval commander who wrote widely on various subjects. His nephew was Pliny the Younger."
nemotron-mini,qg_squadshifts_nyt,"Literature has given us especially brilliant stories about office work — “Bartleby the Scrivener,” b",What is an example of work being described in the text?,Émile Zola to Upton Sinclair to Barbara Ehrenreich
nemotron-mini,qg_squadshifts_nyt,Mr. McConnell’s acknowledgment that Barack Obama is actually president might cheer some Democrats. B,What industry does Mr. McConnell protect?,coal industry
nemotron-mini,qg_squadshifts_nyt,Mr. McConnell’s acknowledgment that Barack Obama is actually president might cheer some Democrats. B,"When dismissing the Paris climate change accord, what did he call it?",long-term planning document
nemotron-mini,qg_squadshifts_nyt,Mr. McConnell’s acknowledgment that Barack Obama is actually president might cheer some Democrats. B,What is his stance on the new Pacific trade pact,the White House shouldn’t push the new Pacific trade pact until a lame-duck session next year — if at all — before the president leaves office.
