model,dataset,passage,question,answer
nemotron-mini,qg_squadshifts_new_wiki,"Civil engineering structures are often subjected to very extreme forces, such as large variations in",What extreme forces do civil engineering structures commonly experience?,"['large variations in temperature', 'dynamic loads such as waves or traffic', 'high pressures from water or compressed gases']"
nemotron-mini,qg_squadshifts_new_wiki,"Civil engineering structures are often subjected to very extreme forces, such as large variations in",Are civil engineering structures often constructed in corrosive environments?,['yes']
nemotron-mini,qg_squadshifts_new_wiki,"In 1763, Louisiana around New Orleans and west of the Mississippi River was ceded to Spain. In the 1",What year did Spain cede control of Louisiana to France?,1802
nemotron-mini,qg_squadshifts_new_wiki,"In 1763, Louisiana around New Orleans and west of the Mississippi River was ceded to Spain. In the 1",In what year did the United States purchase New Orleans from Napoleon?,1803
nemotron-mini,qg_squadshifts_new_wiki,Lenses are classified by the curvature of the two optical surfaces. A lens is biconvex (or double co,What kind of lens has two convex surfaces?,biconvex
nemotron-mini,qg_squadshifts_new_wiki,Lenses are classified by the curvature of the two optical surfaces. A lens is biconvex (or double co,A lens with one flat and one curved surface is called what?,plano-convex or plano-concave
nemotron-mini,qg_squadshifts_new_wiki,"If (x, y) are the Cartesian coordinates of a point, then (−x, y) are the coordinates of its reflecti","Reflection across a line through the origin making an angle θ with the x-axis results in replacing every point with coordinates (x, y) by what?","(x',y')"
nemotron-mini,qg_squadshifts_new_wiki,"If (x, y) are the Cartesian coordinates of a point, then (−x, y) are the coordinates of its reflecti","If (−x, y) are the coordinates of its reflection across the second coordinate axis (the Y-axis), then which is true about those coordinates and the original point (x, y)?",The negative sign in front of x indicates that the reflected point will have a positive value for x.
nemotron-mini,qg_squadshifts_new_wiki,"If (x, y) are the Cartesian coordinates of a point, then (−x, y) are the coordinates of its reflecti","(−x, −y) are the coordinates of its reflection across the first coordinate axis (the X-axis). Which is true about those coordinates and the original point (x, y)?",The negative sign in front of x indicates that the reflected point will have a positive value for x.
nemotron-mini,qg_squadshifts_new_wiki,"Four states (Massachusetts, Pennsylvania, Virginia, and Kentucky) call themselves ""commonwealths."" T",Which four states call themselves 'commonwealths'?,"Massachusetts, Pennsylvania, Virginia, and Kentucky"
